LINE,X,Y
1,-76247.94,6610648.74
1,-76247.94,6610698.74
1,-76247.94,6610748.74
1,-76247.94,6610798.74
1,-76247.94,6610848.74
1,-76247.94,6610898.74
1,-76247.94,6610948.74
1,-76247.94,6610998.74
1,-76247.94,6611048.74
1,-76247.94,6611098.74
1,-76247.94,6611148.74
1,-76247.94,6611198.74
1,-76247.94,6611248.74
1,-76247.94,6611298.74
1,-76247.94,6611348.74
1,-76247.94,6611398.74
1,-76247.94,6611448.74
1,-76247.94,6611498.74
1,-76247.94,6611548.74
1,-76247.94,6611598.74
1,-76247.94,6611648.74
1,-76247.94,6611698.74
1,-76247.94,6611748.74
1,-76247.94,6611798.74
1,-76247.94,6611848.74
1,-76247.94,6611898.74
1,-76247.94,6611948.74
1,-76247.94,6611998.74
1,-76247.94,6612048.74
1,-76247.94,6612098.74
1,-76247.94,6612148.74
1,-76247.94,6612198.74
1,-76247.94,6612248.74
1,-76247.94,6612298.74
1,-76247.94,6612348.74
1,-76247.94,6612398.74
1,-76247.94,6612448.74
1,-76247.94,6612498.74
1,-76247.94,6612548.74
1,-76247.94,6612598.74
1,-76247.94,6612648.74
1,-76247.94,6612698.74
1,-76247.94,6612748.74
1,-76247.94,6612798.74
1,-76247.94,6612848.74
1,-76247.94,6612898.74
1,-76247.94,6612948.74
1,-76247.94,6612998.74
1,-76247.94,6613048.74
1,-76247.94,6613098.74
1,-76247.94,6613148.74
1,-76247.94,6613198.74
1,-76247.94,6613248.74
1,-76247.94,6613298.74
1,-76247.94,6613348.74
1,-76247.94,6613398.74
1,-76247.94,6613448.74
1,-76247.94,6613498.74
1,-76247.94,6613548.74
1,-76247.94,6613598.74
1,-76247.94,6613648.74
1,-76247.94,6613698.74
1,-76247.94,6613748.74
1,-76247.94,6613798.74
1,-76247.94,6613848.74
1,-76247.94,6613898.74
1,-76247.94,6613948.74
1,-76247.94,6613998.74
1,-76247.94,6614048.74
1,-76247.94,6614098.74
1,-76247.94,6614148.74
1,-76247.94,6614198.74
1,-76247.94,6614248.74
1,-76247.94,6614298.74
1,-76247.94,6614348.74
1,-76247.94,6614398.74
1,-76247.94,6614448.74
1,-76247.94,6614498.74
1,-76247.94,6614548.74
1,-76247.94,6614598.74
1,-76247.94,6614648.74
1,-76247.94,6614698.74
1,-76247.94,6614748.74
1,-76247.94,6614798.74
1,-76247.94,6614848.74
1,-76247.94,6614898.74
1,-76247.94,6614948.74
1,-76247.94,6614998.74
1,-76247.94,6615048.74
1,-76247.94,6615098.74
1,-76247.94,6615148.74
1,-76247.94,6615198.74
1,-76247.94,6615248.74
1,-76247.94,6615298.74
1,-76247.94,6615348.74
1,-76247.94,6615398.74
1,-76247.94,6615448.74
1,-76247.94,6615498.74
1,-76247.94,6615548.74
1,-76247.94,6615598.74
1,-76247.94,6615648.74
1,-76247.94,6615698.74
1,-76247.94,6615748.74
1,-76247.94,6615798.74
1,-76247.94,6615848.74
1,-76247.94,6615898.74
1,-76247.94,6615948.74
1,-76247.94,6615998.74
1,-76247.94,6616048.74
1,-76247.94,6616098.74
1,-76247.94,6616148.74
1,-76247.94,6616198.74
1,-76247.94,6616248.74
1,-76247.94,6616298.74
1,-76247.94,6616348.74
1,-76247.94,6616398.74
1,-76247.94,6616448.74
1,-76247.94,6616498.74
1,-76247.94,6616548.74
1,-76247.94,6616598.74
1,-76247.94,6616648.74
1,-76247.94,6616698.74
1,-76247.94,6616748.74
1,-76247.94,6616798.74
1,-76247.94,6616848.74
1,-76247.94,6616898.74
1,-76247.94,6616948.74
1,-76247.94,6616998.74
1,-76247.94,6617048.74
1,-76247.94,6617098.74
1,-76247.94,6617148.74
1,-76247.94,6617198.74
1,-76247.94,6617248.74
1,-76247.94,6617298.74
1,-76247.94,6617348.74
1,-76247.94,6617398.74
1,-76247.94,6617448.74
1,-76247.94,6617498.74
1,-76247.94,6617548.74
1,-76247.94,6617598.74
1,-76247.94,6617648.74
1,-76247.94,6617698.74
1,-76247.94,6617748.74
1,-76247.94,6617798.74
1,-76247.94,6617848.74
1,-76247.94,6617898.74
1,-76247.94,6617948.74
1,-76247.94,6617998.74
1,-76247.94,6618048.74
