LNUM,X,Y,LSYMB
1,-76309.9,6.61098e+06,101
1,-76310.7,6.61103e+06,101
1,-76311.5,6.61108e+06,101
1,-76312.2,6.61113e+06,101
1,-76313,6.61118e+06,101
1,-76313.8,6.61123e+06,101
1,-76314.6,6.61128e+06,101
1,-76315.3,6.61133e+06,101
1,-76316.1,6.61138e+06,101
1,-76316.9,6.61143e+06,101
1,-76317.7,6.61148e+06,101
1,-76318.4,6.61153e+06,101
1,-76319.2,6.61158e+06,101
1,-76320,6.61163e+06,101
1,-76320.8,6.61168e+06,101
1,-76321.5,6.61173e+06,101
1,-76322.3,6.61178e+06,101
1,-76323.1,6.61183e+06,101
1,-76323.8,6.61188e+06,101
1,-76324.6,6.61193e+06,101
1,-76325.4,6.61198e+06,101
1,-76326.2,6.61203e+06,101
1,-76326.9,6.61208e+06,101
1,-76327.7,6.61213e+06,101
1,-76328.5,6.61218e+06,101
1,-76329.3,6.61223e+06,101
1,-76330,6.61228e+06,101
1,-76330.8,6.61233e+06,101
1,-76331.6,6.61238e+06,101
1,-76332.4,6.61243e+06,101
1,-76333.1,6.61248e+06,101
1,-76333.9,6.61253e+06,101
1,-76334.7,6.61258e+06,101
1,-76335.5,6.61263e+06,101
1,-76336.2,6.61268e+06,101
1,-76337,6.61273e+06,101
1,-76337.8,6.61278e+06,101
1,-76338.6,6.61283e+06,101
1,-76339.3,6.61288e+06,101
1,-76340.1,6.61293e+06,101
1,-76340.9,6.61298e+06,101
1,-76341.7,6.61303e+06,101
1,-76342.4,6.61308e+06,101
1,-76343.2,6.61313e+06,101
1,-76344,6.61318e+06,101
1,-76344.8,6.61323e+06,101
1,-76345.5,6.61328e+06,101
1,-76346.3,6.61333e+06,101
1,-76347.1,6.61338e+06,101
1,-76347.9,6.61343e+06,101
1,-76348.6,6.61348e+06,101
1,-76349.4,6.61353e+06,101
1,-76350.2,6.61358e+06,101
1,-76351,6.61363e+06,101
1,-76351.7,6.61368e+06,101
1,-76352.5,6.61373e+06,101
1,-76353.3,6.61378e+06,101
1,-76354,6.61383e+06,101
1,-76354.8,6.61388e+06,101
1,-76355.6,6.61393e+06,101
1,-76356.4,6.61398e+06,101
1,-76357.1,6.61403e+06,101
1,-76357.9,6.61408e+06,101
1,-76358.7,6.61413e+06,101
1,-76359.5,6.61418e+06,101
1,-76360.2,6.61423e+06,101
1,-76361,6.61428e+06,101
1,-76361.8,6.61433e+06,101
1,-76362.6,6.61438e+06,101
1,-76363.3,6.61443e+06,101
1,-76364.1,6.61448e+06,101
1,-76364.9,6.61453e+06,101
1,-76365.7,6.61458e+06,101
1,-76366.4,6.61463e+06,101
1,-76367.2,6.61468e+06,101
1,-76368,6.61473e+06,101
1,-76368.8,6.61478e+06,101
1,-76369.5,6.61483e+06,101
1,-76370.3,6.61488e+06,101
1,-76371.1,6.61493e+06,101
1,-76371.9,6.61498e+06,101
1,-76372.6,6.61503e+06,101
1,-76373.4,6.61508e+06,101
1,-76374.2,6.61513e+06,101
1,-76375,6.61518e+06,101
1,-76375.7,6.61523e+06,101
1,-76376.5,6.61528e+06,101
1,-76377.3,6.61533e+06,101
1,-76378.1,6.61538e+06,101
1,-76378.8,6.61543e+06,101
1,-76379.6,6.61548e+06,101
1,-76380.4,6.61553e+06,101
1,-76381.1,6.61558e+06,101
1,-76381.9,6.61563e+06,101
1,-76382.7,6.61568e+06,101
1,-76383.5,6.61573e+06,101
1,-76384.2,6.61578e+06,101
1,-76385,6.61583e+06,101
1,-76385.8,6.61588e+06,101
1,-76386.6,6.61593e+06,101
1,-76387.3,6.61598e+06,101
1,-76388.1,6.61603e+06,101
1,-76388.9,6.61608e+06,101
1,-76389.7,6.61613e+06,101
1,-76390.4,6.61618e+06,101
1,-76391.2,6.61623e+06,101
1,-76392,6.61628e+06,101
1,-76392.8,6.61633e+06,101
1,-76393.5,6.61638e+06,101
1,-76394.3,6.61643e+06,101
1,-76395.1,6.61648e+06,101
1,-76395.9,6.61653e+06,101
1,-76396.6,6.61658e+06,101
1,-76397.4,6.61663e+06,101
1,-76398.2,6.61668e+06,101
1,-76399,6.61673e+06,101
1,-76399.7,6.61678e+06,101
1,-76400.5,6.61683e+06,101
1,-76401.3,6.61688e+06,101
1,-76402.1,6.61693e+06,101
1,-76402.8,6.61698e+06,101
1,-76403.6,6.61703e+06,101
1,-76404.4,6.61708e+06,101
1,-76405.2,6.61713e+06,101
1,-76405.9,6.61718e+06,101
1,-76406.7,6.61723e+06,101
1,-76407.5,6.61728e+06,101
1,-76408.3,6.61733e+06,101
1,-76409,6.61738e+06,101
1,-76409.8,6.61743e+06,101
1,-76410.6,6.61748e+06,101
1,-76411.3,6.61753e+06,101
1,-76412.1,6.61758e+06,101
1,-76412.9,6.61763e+06,101
1,-76413.7,6.61768e+06,101
1,-76414.4,6.61773e+06,101
1,-76415.2,6.61778e+06,101
1,-76416,6.61783e+06,101
1,-76416.8,6.61788e+06,101
1,-76417.5,6.61793e+06,101
1,-76418.3,6.61798e+06,101
1,-76419.1,6.61803e+06,101
1,-76419.9,6.61808e+06,101
1,-76420.6,6.61813e+06,101
1,-76421.4,6.61818e+06,101
1,-76422.2,6.61823e+06,101
1,-76423,6.61828e+06,101
1,-76423.7,6.61833e+06,101
1,-76424.5,6.61838e+06,101
1,-76425.3,6.61843e+06,101
1,-76426.1,6.61848e+06,101
1,-76426.8,6.61853e+06,101
1,-76427.6,6.61858e+06,101
1,-76428.4,6.61863e+06,101
1,-76429.2,6.61868e+06,101
1,-76429.9,6.61873e+06,101
1,-76430.7,6.61878e+06,101
1,-76431.5,6.61883e+06,101
1,-76432.3,6.61888e+06,101
1,-76433,6.61893e+06,101
1,-76433.8,6.61898e+06,101
1,-76434.6,6.61903e+06,101
1,-76435.4,6.61908e+06,101
1,-76436.1,6.61913e+06,101
1,-76436.9,6.61918e+06,101
1,-76437.7,6.61923e+06,101
1,-76438.5,6.61928e+06,101
