LINE,X,Y,LSYMB
1,-77581.03,6624537.14,101
1,-77545.68,6624501.79,101
1,-77510.32,6624466.43,101
1,-77474.97,6624431.08,101
1,-77439.61,6624395.72,101
1,-77404.26,6624360.36,101
1,-77368.90,6624325.01,101
1,-77333.55,6624289.65,101
1,-77298.19,6624254.30,101
1,-77262.84,6624218.94,101
1,-77227.48,6624183.59,101
1,-77192.13,6624148.23,101
1,-77156.77,6624112.88,101
1,-77121.41,6624077.52,101
1,-77086.06,6624042.17,101
1,-77050.70,6624006.81,101
1,-77015.35,6623971.46,101
1,-76979.99,6623936.10,101
1,-76944.64,6623900.75,101
1,-76909.28,6623865.39,101
1,-76873.93,6623830.03,101
1,-76838.57,6623794.68,101
1,-76803.22,6623759.32,101
1,-76767.86,6623723.97,101
1,-76732.51,6623688.61,101
1,-76697.15,6623653.26,101
1,-76661.80,6623617.90,101
1,-76626.44,6623582.55,101
1,-76591.08,6623547.19,101
1,-76555.73,6623511.84,101
1,-76520.37,6623476.48,101
1,-76485.02,6623441.13,101
1,-76449.66,6623405.77,101
1,-76414.31,6623370.42,101
1,-76378.95,6623335.06,101
1,-76343.60,6623299.70,101
1,-76308.24,6623264.35,101
1,-76272.89,6623228.99,101
1,-76237.53,6623193.64,101
1,-76202.18,6623158.28,101
1,-76166.82,6623122.93,101
1,-76131.47,6623087.57,101
1,-76096.11,6623052.22,101
1,-76060.75,6623016.86,101
1,-76025.40,6622981.51,101
1,-75990.04,6622946.15,101
1,-75954.69,6622910.80,101
1,-75919.33,6622875.44,101
1,-75883.98,6622840.09,101
1,-75848.62,6622804.73,101
1,-75813.27,6622769.37,101
1,-75777.91,6622734.02,101
1,-75742.56,6622698.66,101
1,-75707.20,6622663.31,101
1,-75671.85,6622627.95,101
1,-75636.49,6622592.60,101
1,-75601.14,6622557.24,101
1,-75565.78,6622521.89,101
1,-75530.42,6622486.53,101
1,-75495.07,6622451.18,101
1,-75459.71,6622415.82,101
1,-75424.36,6622380.47,101
1,-75389.00,6622345.11,101
1,-75353.65,6622309.76,101
1,-75318.29,6622274.40,101
1,-75282.94,6622239.04,101
1,-75247.58,6622203.69,101
1,-75212.23,6622168.33,101
1,-75176.87,6622132.98,101
1,-75141.52,6622097.62,101
1,-75106.16,6622062.27,101
1,-75070.81,6622026.91,101
1,-75035.45,6621991.56,101
1,-75000.09,6621956.20,101
1,-74964.74,6621920.85,101
1,-74929.38,6621885.49,101
1,-74894.03,6621850.14,101
1,-74858.67,6621814.78,101
1,-74823.32,6621779.43,101
1,-74787.96,6621744.07,101
1,-74752.61,6621708.71,101
1,-74717.25,6621673.36,101
1,-74681.90,6621638.00,101
1,-74646.54,6621602.65,101
1,-74611.19,6621567.29,101
1,-74575.83,6621531.94,101
1,-74540.48,6621496.58,101
1,-74505.12,6621461.23,101
1,-74469.76,6621425.87,101
1,-74434.41,6621390.52,101
1,-74399.05,6621355.16,101
1,-74363.70,6621319.81,101
1,-74328.34,6621284.45,101
1,-74292.99,6621249.09,101
1,-74257.63,6621213.74,101
1,-74222.28,6621178.38,101
1,-74186.92,6621143.03,101
1,-74151.57,6621107.67,101
1,-74116.21,6621072.32,101
1,-74080.86,6621036.96,101
1,-74045.50,6621001.61,101
1,-74010.15,6620966.25,101
1,-73974.79,6620930.90,101
1,-73939.43,6620895.54,101
1,-73904.08,6620860.19,101
1,-73868.72,6620824.83,101
1,-73833.37,6620789.48,101
1,-73798.01,6620754.12,101
1,-73762.66,6620718.76,101
1,-73727.30,6620683.41,101
1,-73691.95,6620648.05,101
1,-73656.59,6620612.70,101
1,-73621.24,6620577.34,101
1,-73585.88,6620541.99,101
1,-73550.53,6620506.63,101
1,-73515.17,6620471.28,101
1,-73479.82,6620435.92,101
1,-73444.46,6620400.57,101
1,-73409.10,6620365.21,101
1,-73373.75,6620329.86,101
1,-73338.39,6620294.50,101
1,-73303.04,6620259.15,101
1,-73267.68,6620223.79,101
1,-73232.33,6620188.43,101
1,-73196.97,6620153.08,101
1,-73161.62,6620117.72,101
1,-73126.26,6620082.37,101
1,-73090.91,6620047.01,101
1,-73055.55,6620011.66,101
1,-73020.20,6619976.30,101
1,-72984.84,6619940.95,101
1,-72949.48,6619905.59,101
1,-72914.13,6619870.24,101
1,-72878.77,6619834.88,101
1,-72843.42,6619799.53,101
1,-72808.06,6619764.17,101
1,-72772.71,6619728.82,101
1,-72737.35,6619693.46,101
1,-72702.00,6619658.10,101
1,-72666.64,6619622.75,101
1,-72631.29,6619587.39,101
1,-72595.93,6619552.04,101
1,-72560.58,6619516.68,101
1,-72525.22,6619481.33,101
1,-72489.87,6619445.97,101
1,-72454.51,6619410.62,101
1,-72419.15,6619375.26,101
1,-72383.80,6619339.91,101
1,-72348.44,6619304.55,101
1,-72313.09,6619269.20,101
1,-72277.73,6619233.84,101
1,-72242.38,6619198.49,101
1,-72207.02,6619163.13,101
1,-72171.67,6619127.77,101
1,-72136.31,6619092.42,101
1,-72100.96,6619057.06,101
1,-72065.60,6619021.71,101
1,-72030.25,6618986.35,101
1,-71994.89,6618951.00,101
1,-71959.54,6618915.64,101
1,-71924.18,6618880.29,101
1,-71888.82,6618844.93,101
1,-71853.47,6618809.58,101
1,-71818.11,6618774.22,101
1,-71782.76,6618738.87,101
1,-71747.40,6618703.51,101
1,-71712.05,6618668.16,101
1,-71676.69,6618632.80,101
1,-71641.34,6618597.44,101
1,-71605.98,6618562.09,101
1,-71570.63,6618526.73,101
1,-71535.27,6618491.38,101
1,-71499.92,6618456.02,101
1,-71464.56,6618420.67,114
1,-71429.21,6618385.31,114
1,-71393.85,6618349.96,114
1,-71358.49,6618314.60,114
1,-71323.14,6618279.25,114
1,-71287.78,6618243.89,114
1,-71252.43,6618208.54,114
1,-71217.07,6618173.18,114
1,-71181.72,6618137.83,114
1,-71146.36,6618102.47,114
1,-71111.01,6618067.11,114
1,-71075.65,6618031.76,114
1,-71040.30,6617996.40,114
1,-71004.94,6617961.05,114
1,-70969.59,6617925.69,114
1,-70934.23,6617890.34,114
1,-70898.88,6617854.98,114
1,-70863.52,6617819.63,114
1,-70828.16,6617784.27,114
1,-70792.81,6617748.92,114
1,-70757.45,6617713.56,114
1,-70722.10,6617678.21,114
1,-70686.74,6617642.85,114
1,-70651.39,6617607.50,114
1,-70616.03,6617572.14,114
1,-70580.68,6617536.78,114
1,-70545.32,6617501.43,114
1,-70509.97,6617466.07,114
1,-70474.61,6617430.72,114
1,-70439.26,6617395.36,114
1,-70403.90,6617360.01,114
1,-70368.55,6617324.65,114
1,-70333.19,6617289.30,114
1,-70297.83,6617253.94,114
1,-70262.48,6617218.59,114
1,-70227.12,6617183.23,114
1,-70191.77,6617147.88,114
1,-70156.41,6617112.52,114
