LINE,X,Y,STATION,ID
1,-66514.99,6623282.22,"0",1_0
1,-66550.34,6623246.86,"50",1_50
1,-66585.70,6623211.51,"100",1_100
1,-66621.05,6623176.15,"150",1_150
1,-66656.41,6623140.80,"200",1_200
1,-66691.76,6623105.44,"250",1_250
1,-66727.12,6623070.09,"300",1_300
1,-66762.47,6623034.73,"350",1_350
1,-66797.83,6622999.38,"400",1_400
1,-66833.19,6622964.02,"450",1_450
1,-66868.54,6622928.67,"500",1_500
1,-66903.90,6622893.31,"550",1_550
1,-66939.25,6622857.95,"600",1_600
1,-66974.61,6622822.60,"650",1_650
1,-67009.96,6622787.24,"700",1_700
1,-67045.32,6622751.89,"750",1_750
1,-67080.67,6622716.53,"800",1_800
1,-67116.03,6622681.18,"850",1_850
1,-67151.38,6622645.82,"900",1_900
1,-67186.74,6622610.47,"950",1_950
1,-67222.09,6622575.11,"1000",1_1000
1,-67257.45,6622539.76,"1050",1_1050
1,-67292.80,6622504.40,"1100",1_1100
1,-67328.16,6622469.05,"1150",1_1150
1,-67363.52,6622433.69,"1200",1_1200
1,-67398.87,6622398.34,"1250",1_1250
1,-67434.23,6622362.98,"1300",1_1300
1,-67469.58,6622327.62,"1350",1_1350
1,-67504.94,6622292.27,"1400",1_1400
1,-67540.29,6622256.91,"1450",1_1450
1,-67575.65,6622221.56,"1500",1_1500
1,-67611.00,6622186.20,"1550",1_1550
1,-67646.36,6622150.85,"1600",1_1600
1,-67681.71,6622115.49,"1650",1_1650
1,-67717.07,6622080.14,"1700",1_1700
1,-67752.42,6622044.78,"1750",1_1750
1,-67787.78,6622009.43,"1800",1_1800
1,-67823.13,6621974.07,"1850",1_1850
1,-67858.49,6621938.72,"1900",1_1900
1,-67893.85,6621903.36,"1950",1_1950
1,-67929.20,6621868.01,"2000",1_2000
1,-67964.56,6621832.65,"2050",1_2050
1,-67999.91,6621797.29,"2100",1_2100
1,-68035.27,6621761.94,"2150",1_2150
1,-68070.62,6621726.58,"2200",1_2200
1,-68105.98,6621691.23,"2250",1_2250
1,-68141.33,6621655.87,"2300",1_2300
1,-68176.69,6621620.52,"2350",1_2350
1,-68212.04,6621585.16,"2400",1_2400
1,-68247.40,6621549.81,"2450",1_2450
1,-68282.75,6621514.45,"2500",1_2500
1,-68318.11,6621479.10,"2550",1_2550
1,-68353.46,6621443.74,"2600",1_2600
1,-68388.82,6621408.39,"2650",1_2650
1,-68424.18,6621373.03,"2700",1_2700
1,-68459.53,6621337.68,"2750",1_2750
1,-68494.89,6621302.32,"2800",1_2800
1,-68530.24,6621266.96,"2850",1_2850
