LNUM,X,Y,LSYMB,DIST_LEFT,DIST_RIGHT
1,-71032.4,6.62531e+06,101,743.436,-1e+32
1,-71032.2,6.62526e+06,101,741.682,-1e+32
1,-71032,6.62521e+06,101,739.943,-1e+32
1,-71031.8,6.62516e+06,101,738.19,-1e+32
1,-71031.6,6.62511e+06,101,736.457,-1e+32
1,-71031.4,6.62506e+06,101,734.711,-1e+32
1,-71031.2,6.62501e+06,101,732.964,-1e+32
1,-71031,6.62496e+06,101,731.218,-1e+32
1,-71030.8,6.62491e+06,101,729.479,-1e+32
1,-71030.6,6.62486e+06,101,727.732,-1e+32
1,-71030.4,6.62481e+06,101,725.979,-1e+32
1,-71030.2,6.62476e+06,101,724.239,-1e+32
1,-71030,6.62471e+06,101,722.486,-1e+32
1,-71029.8,6.62466e+06,101,720.754,-1e+32
1,-71029.7,6.62461e+06,101,719,-1e+32
1,-71029.5,6.62456e+06,101,717.261,-1e+32
1,-71029.3,6.62451e+06,101,715.507,-1e+32
1,-71029.1,6.62446e+06,101,713.775,-1e+32
1,-71028.9,6.62441e+06,101,712.022,-1e+32
1,-71028.7,6.62436e+06,101,710.282,-1e+32
1,-71028.5,6.62431e+06,101,708.536,-1e+32
1,-71028.3,6.62426e+06,101,706.79,-1e+32
1,-71028.1,6.62421e+06,101,705.043,-1e+32
1,-71027.9,6.62416e+06,101,703.297,-1e+32
1,-71027.7,6.62411e+06,101,701.551,-1e+32
1,-71027.5,6.62406e+06,101,699.797,-1e+32
1,-71027.3,6.62401e+06,101,698.065,-1e+32
1,-71027.2,6.62396e+06,101,696.311,-1e+32
1,-71027,6.62391e+06,101,694.572,-1e+32
1,-71026.8,6.62386e+06,101,692.819,-1e+32
1,-71026.6,6.62381e+06,101,691.086,-1e+32
1,-71026.4,6.62376e+06,101,689.333,-1e+32
1,-71026.2,6.62371e+06,101,687.594,-1e+32
1,-71026,6.62366e+06,101,685.84,-1e+32
1,-71025.8,6.62361e+06,101,684.108,-1e+32
1,-71025.6,6.62356e+06,101,682.362,-1e+32
1,-71025.4,6.62351e+06,101,680.615,-1e+32
1,-71025.2,6.62346e+06,101,678.869,-1e+32
1,-71025,6.62341e+06,101,677.123,-1e+32
1,-71024.8,6.62336e+06,101,675.383,-1e+32
1,-71024.6,6.62331e+06,101,673.63,-1e+32
1,-71024.4,6.62326e+06,101,671.891,-1e+32
1,-71024.3,6.62321e+06,101,670.137,-1e+32
1,-71024.1,6.62316e+06,101,668.405,-1e+32
