Line,XCo_m,YCo_m
9270,789026.11,1916918.11
9270,789026.09,1916924.375
9270,789026.07,1916930.64
9270,789026.05,1916936.905
9270,789026.03,1916943.17
9270,789026.01,1916949.435
9270,789025.99,1916955.7
9270,789025.97,1916961.965
9270,789025.95,1916968.23
9270,789025.93,1916974.495
9270,789025.91,1916980.76
9270,789025.953,1916987.022
9270,789025.996,1916993.284
9270,789026.039,1916999.546
9270,789026.082,1917005.808
9270,789026.125,1917012.07
9270,789026.168,1917018.332
9270,789026.211,1917024.594
9270,789026.254,1917030.856
9270,789026.297,1917037.118
9270,789026.34,1917043.38
9270,789026.419,1917049.633
9270,789026.498,1917055.886
9270,789026.577,1917062.139
9270,789026.656,1917068.392
9270,789026.735,1917074.645
9270,789026.814,1917080.898
9270,789026.893,1917087.151
9270,789026.972,1917093.404
9270,789027.051,1917099.657
9270,789027.13,1917105.91
9270,789027.213,1917112.15
9270,789027.296,1917118.39
9270,789027.379,1917124.63
9270,789027.462,1917130.87
9270,789027.545,1917137.11
9270,789027.628,1917143.35
9270,789027.711,1917149.59
9270,789027.794,1917155.83
9270,789027.877,1917162.07
9270,789027.96,1917168.31
9270,789028.05,1917174.549
9270,789028.14,1917180.788
9270,789028.23,1917187.027
9270,789028.32,1917193.266
9270,789028.41,1917199.505
9270,789028.5,1917205.744
9270,789028.59,1917211.983
9270,789028.68,1917218.222
9270,789028.77,1917224.461
9270,789028.86,1917230.7
9270,789028.949,1917236.942
9270,789029.038,1917243.184
9270,789029.127,1917249.426
9270,789029.216,1917255.668
9270,789029.305,1917261.91
9270,789029.394,1917268.152
9270,789029.483,1917274.394
9270,789029.572,1917280.636
9270,789029.661,1917286.878
9270,789029.75,1917293.12
9270,789029.842,1917299.368
9270,789029.934,1917305.616
9270,789030.026,1917311.864
9270,789030.118,1917318.112
9270,789030.21,1917324.36
9270,789030.302,1917330.608
9270,789030.394,1917336.856
9270,789030.486,1917343.104
9270,789030.578,1917349.352
9270,789030.67,1917355.6
9270,789030.791,1917361.852
9270,789030.912,1917368.104
9270,789031.033,1917374.356
9270,789031.154,1917380.608
9270,789031.275,1917386.86
9270,789031.396,1917393.112
9270,789031.517,1917399.364
9270,789031.638,1917405.616
9270,789031.759,1917411.868
9270,789031.88,1917418.12
9270,789032.019,1917424.374
9270,789032.158,1917430.628
9270,789032.297,1917436.882
9270,789032.436,1917443.136
9270,789032.575,1917449.39
9270,789032.714,1917455.644
9270,789032.853,1917461.898
9270,789032.992,1917468.152
9270,789033.131,1917474.406
9270,789033.27,1917480.66
9270,789033.417,1917486.914
9270,789033.564,1917493.168
9270,789033.711,1917499.422
9270,789033.858,1917505.676
9270,789034.005,1917511.93
9270,789034.152,1917518.184
9270,789034.299,1917524.438
9270,789034.446,1917530.692
9270,789034.593,1917536.946
9270,789034.74,1917543.2
9270,789034.902,1917549.456
9270,789035.064,1917555.712
9270,789035.226,1917561.968
9270,789035.388,1917568.224
9270,789035.55,1917574.48
9270,789035.712,1917580.736
9270,789035.874,1917586.992
9270,789036.036,1917593.248
9270,789036.198,1917599.504
9270,789036.36,1917605.76
9270,789036.535,1917612.022
9270,789036.71,1917618.284
9270,789036.885,1917624.546
9270,789037.06,1917630.808
9270,789037.235,1917637.07
9270,789037.41,1917643.332
9270,789037.585,1917649.594
9270,789037.76,1917655.856
9270,789037.935,1917662.118
9270,789038.11,1917668.38
9270,789038.287,1917674.652
9270,789038.464,1917680.924
9270,789038.641,1917687.196
9270,789038.818,1917693.468
